year,nh_no_feedback,sh_no_feedback,nh_with_feedback,sh_with_feedback
1970,-0.77336,-0.3638,-0.77336,-0.3638
1971,-0.23995162944056636,-0.17459032516842987,-0.23995162944056636,-0.17459032516842987
1972,-0.1254011365216864,-0.08634340639033053,-0.1254011365216864,-0.08634340639033053
1973,-0.027710798242759696,-0.009031322910582056,-0.027710798242759696,-0.009031322910582056
1974,0.05649303421446519,0.05933232301412055,0.05649303421446519,0.05933232301412055
1975,0.12990961453202315,0.12037375673184283,0.12990961453202315,0.12151551209085543
1976,0.19469861195472335,0.1754243360271238,0.19665625549454174,0.1784646781844227
1977,0.25258797350912593,0.22557401517803802,0.2574927505330855,0.23099645543539532
1978,0.30496022471001544,0.2717151151544239,0.31324157088389626,0.2798554151452832
1979,0.3529215188717146,0.31457815760351615,0.3648437507995831,0.3256613206797313
1980,0.3973568835549224,0.3547612015808271,0.41306695994767895,0.36893004687812736
1981,0.4389744233231172,0.39275386107885374,0.45853744051805134,0.41009099310482505
1982,0.47834068642738414,0.4289569678070675,0.5017660609009125,0.4495015776521133
1983,0.5159089617384915,0.46369866880635113,0.5431695697762546,0.48745930269739524
1984,0.5520419191602766,0.4972476053174265,0.5830879347912313,0.524211797020501
1985,0.5870297242548195,0.5298237021169778,0.6217984871196827,0.5599651754341837
1986,0.6211045317783802,0.5616070005805623,0.659527460321739,0.594890997068014
1987,0.654452081978966,0.5927448901748342,0.6964594035235454,0.6291320573556161
1988,0.6872209788095802,0.6233580287685783,0.7327448605082142,0.6628072092113569
1989,0.719530113439092,0.6535451894999281,0.7685066341705109,0.6960153761166403
1990,0.7514746038132345,0.683387228831716,0.8038448969384787,0.7288388925620204
1991,0.7831305469053187,0.7129503351371012,0.8388413597570815,0.7613462845888098
1992,0.8145588209983854,0.7422886882664486,0.8735626730648545,0.7935945842766271
1993,0.8458081278962404,0.7714466368936475,0.9080632012452092,0.8256312562934418
1994,0.8769174270005604,0.8004604810758963,0.9423872859704232,0.8574958015313634
1995,0.9079178828192269,0.8293599316078565,0.9765710925941015,0.8892210919527082
1996,0.938834423170331,0.8581693047723375,1.010644116402604,0.9208344816989018
1997,0.9696869859032613,0.8869085004642061,1.0446304113859597,0.9523587319634035
1998,1.0004915164018895,0.9155938029652999,1.078549592645512,0.9838127808441696
1999,1.0312607656881776,0.9442385365264604,1.112417654138763,1.0152123841590468
2000,1.0620049289859161,0.9728536020823878,1.146247635779861,1.0465706488523474
2001,1.0927321566363941,1.0014479166517747,1.1800501676473087,1.0778984769956836
2002,1.1234489628826858,1.0300287730673832,1.2138339139381178,1.1092049353686022
2003,1.1541605529384706,1.0586021344814744,1.2476059351370317,1.1404975630927836
2004,1.1848710846762076,1.0871728754728245,1.2813719834671833,1.1717826277028147
2005,1.2155838780041583,1.1157449794372802,1.315136743913023,1.2030653382962224
2006,1.2463015823891963,1.1443217001883386,1.3489040308421516,1.234350022956826
2007,1.277026310892,1.1729056942570022,1.382676948405602,1.2656402764396542
2008,1.3077597474087521,1.2014991292036075,1.4164580213892715,1.2969390831019638
2009,1.3385032324753414,1.2301037722910073,1.4502493019599623,1.3282489192294291
2010,1.3692578319193867,1.258721063079909,1.4840524567467246,1.3595718382111395
2011,1.4000243917887798,1.2873521728615234,1.5178688378801022,1.390909541438141
2012,1.4308035823000522,1.3159980533141267,1.551699540944551,1.4222634373184648
2013,1.4615959330014996,1.3446594763374007,1.5855454522548766,1.4536346904004527
2014,1.492401860907198,1.3733370666641727,1.6194072874234067,1.4850242622623573
2015,1.5232216930070521,1.4020313285590915,1.6532856228223158,1.5164329455482966
2016,1.55405568427707,1.4307426676764137,1.6871809212499564,1.5478613922993225
2017,1.584904032089384,1.459471408954585,1.7210935528689184,1.579310137535805
2018,1.6157668877416933,1.4882178112662376,1.755023812286866,1.6107796188870847
2019,1.6466443656819583,1.51698207941188,1.7889719324907247,1.642270192930912
2020,1.6775365508890512,1.5457643739389164,1.8229380962138895,1.6737821487941607
2021,1.7084435047780018,1.5745648191802974,1.8569224452093387,1.70531571947386
2022,1.7393652699247562,1.603383509835608,1.8909250878144346,1.736871091260637
2023,1.770301873846433,1.6322205163588623,1.924946105122105,1.7684484115826544
2024,1.8012533320258775,1.6610758893693922,1.958985556015146,1.8000477955347631
2025,1.8322196503315844,1.6899496632629325,1.993043481273074,1.8316693313132577
2026,1.8632008269538454,1.7188418591679309,2.0271199069223886,1.8633130847396757
2027,1.881707134895114,1.7395358178436071,2.0485489492813773,1.8866710202815515
2028,1.8967781401170827,1.7567531072981657,2.0663275248531363,1.906418497921599
2029,1.9090999776122834,1.7711235256901354,2.081127493699268,1.9231600653859995
2030,1.9192216261736719,1.7831626802534135,2.093496947656352,1.937398941759772
2031,1.9275823257317048,1.7932926918720273,2.1038830108205078,1.9495540014496628
2032,1.934533514002574,1.8018591455958863,2.112650439744165,1.9599739114194468
2033,1.9403563780299666,1.8091449677663825,2.120096797118889,1.9689488988452988
2034,1.9452758971972504,1.8153817870049302,2.126464830174023,1.9767205463629
2035,1.9494720790604223,1.8207592352789166,2.1319525687362484,1.983489945506899
2036,1.9530889491531687,1.8254325625408436,2.136721563032385,1.9894244835305337
2037,1.9562417437419959,1.829528870715849,2.1409036039304965,1.994663492668203
2038,1.959022664759288,1.8331522173710726,2.144606205183349,1.9993229525100065
2039,1.9615054843330044,1.8363877940109994,2.1479170757371957,2.0034994041986707
2040,1.9637492288770781,1.839305346783361,2.150907768155288,2.0072732085574403
2041,1.9658011267371172,1.8419619769582622,2.153636654931608,2.0107112581144144
2042,1.9676989666056917,1.844404433637222,2.156151356510391,2.0138692345572187
2043,1.9694729844935934,1.8466709907586765,2.158490722017746,2.01679348780965
2044,1.9711473734980762,1.8487929837734254,2.1606864451044445,2.019522600151245
2045,1.972741491770467,1.8507960676970916,2.1627643821193816,2.0220886881705837
2046,1.9742708290126831,1.8527012470582718,2.164745627450155,2.024518486494709
2047,1.9757477797723957,1.8545257191011826,2.1666473907652213,2.0268342498717558
2048,1.9771822621575443,1.8562835641026618,2.1684837126511955,2.029054504053097
2049,1.978582212870653,1.8579863105240448,2.170266048415989,2.0311946708181265
2050,1.9799539832864577,1.8596433976922904,2.1720037443442024,2.0332675882369617
2051,1.9813026563541571,1.8612625545898807,2.173704426217108,2.0352839437305272
2052,1.9826323001513364,1.8628501099642651,2.1753743162597945,2.037252634544279
2053,1.9839461707528057,1.8644112462096873,2.1770184917005575,2.0391810678019646
2054,1.9852468745462404,1.8659502072163219,2.1786410956986764,2.041075410266582
2055,1.9865364981011404,1.8674704685331571,2.1802455094152497,2.042940796238222
2056,1.9878167120771773,1.8689748766777226,2.181834492385274,2.044781500605617
2057,1.9890888543613978,1.8704657631868282,2.183410297030509,2.046601082892048
2058,1.9903539965864243,1.8719450379881368,2.184974762076844,2.048402507157345
2059,1.9916129973517585,1.8734142658420414,2.1865293887624286,2.0501882418027875
2060,1.9928665448062262,1.8748747289234546,2.188075403006781,2.0519603426474484
2061,1.9941151907182515,1.876327478056556,2.189613806127169,2.0537205220798955
2062,1.9953593777355376,1.8777733746598928,2.191145416212061,2.055470206619185
2063,1.9965994611955806,1.8792131250862,2.1926709018727912,2.05721058482792
2064,1.9978357265762938,1.8806473087358735,2.19419080977754,2.0589426471944683
2065,1.9990684034582769,1.8820764010730524,2.1957055871130082,2.0606672193304245
2066,2.0002976766960634,1.8835007924685248,2.197215599908254,2.0623849896037587
2067,2.0015236953562465,1.8849208036261413,2.198721147982896,2.0640965321403035
2068,2.002746579868899,1.8863366982121732,2.2002224771416063,2.065802325969905
2069,2.003966427749429,1.8877486931947898,2.2017197891221363,2.0675027709634426
2070,2.0051833181766585,1.8891569673088253,2.2032132497107284,2.0691982010985988
2071,2.0063973156557595,1.8905616679857609,2.204702995362523,2.0708888955021405
2072,2.007608472948961,1.8919629170271994,2.206189138602357,2.072575087641353
2073,2.0088168334204437,1.893360815249656,2.207671772430652,2.0742569729749007
2074,2.0100224329124736,1.8947554462871798,2.2091509739176374,2.0759347153212957
2075,2.0112253012465224,1.8961468797045093,2.2106268071354713,2.077608452159942
2076,2.0124254634243126,1.8975351735457655,2.2120993255502084,2.079278299043664
2077,2.0136229405887835,1.8989203764210365,2.213568573973122,2.0809443532716334
2078,2.0148177507929677,1.9003025292146334,2.215034590152568,2.0826066969466854
2079,2.0160099096151685,1.9016816664836214,2.216497406072594,2.0842653995201816
2080,2.0171994306511825,1.9030578176027757,2.217957049012335,2.0859205199103354
2081,2.018386325908125,1.9044310077019486,2.2194135424102392,2.0875721082654786
2082,2.019570606119531,1.9058012584334816,2.220866906569108,2.089220207431789
2083,2.020752280997485,1.9071685886004728,2.2223171592312463,2.090864854175008
