dataset,period,n_years,trend_c_per_decade,p_value,r2,intercept
Berkeley Earth HR,1950-present,76,0.16279407609933927,6.431363197764929e-35,0.8732124712297706,-32.63385917445128
HadCRUT5,1950-present,76,0.15825498869220084,6.980226862162722e-34,0.8647897414134973,-31.72449234852238
NASA GISTEMP,1950-present,76,0.1610018227386648,2.8611135060861044e-36,0.8834241807915921,-32.266087415508466
NOAA GlobalTemp,1950-present,76,0.15425781822738666,1.0577376985401277e-35,0.8792384903091476,-30.91370595003228
Berkeley Earth HR,1970-present,56,0.2058265265436318,7.565026743395562e-30,0.9095328455943826,-41.25356246677298
HadCRUT5,1970-present,56,0.20405963989602133,2.667943771478163e-30,0.9129526158715625,-40.89987361029645
NASA GISTEMP,1970-present,56,0.20184182046024154,1.1376973644257698e-29,0.9081576893985553,-40.4476724861396
NOAA GlobalTemp,1970-present,56,0.19454605721690596,1.0195329345117181e-29,0.9085292887413585,-38.98459795715237
Berkeley Earth HR,1990-present,36,0.22743661518661515,6.375108861608789e-15,0.836384545814791,-45.59965744315743
HadCRUT5,1990-present,36,0.22877249792048474,1.3029086725158318e-15,0.8509037007744139,-45.86982011515981
NASA GISTEMP,1990-present,36,0.23597168597168594,8.484925119169167e-16,0.8546008415867352,-47.311334477334476
NOAA GlobalTemp,1990-present,36,0.2311700362505362,2.8981974644935505e-16,0.863465312498172,-46.3498992615544
Berkeley Earth HR,2000-present,26,0.2577159544159544,1.7788974805657726e-09,0.7847760539035905,-51.70220014245014
HadCRUT5,2000-present,26,0.252112070011396,4.992698215150721e-10,0.8062024612317786,-50.573676361960075
NASA GISTEMP,2000-present,26,0.26563247863247863,3.7526221867198223e-10,0.8107191227082299,-53.288326923076916
NOAA GlobalTemp,2000-present,26,0.2663477259259258,1.0056165081903549e-10,0.8302382566100531,-53.43941357613958
Berkeley Earth HR,full record,176,0.06436290813706069,1.799844352124383e-46,0.6928815816218493,-13.068495585393894
HadCRUT5,full record,176,0.06588572205631255,1.1803564354402996e-49,0.7176398914660895,-13.363398815739682
NASA GISTEMP,full record,146,0.0831117387909344,2.8074726500941236e-47,0.7661061133167283,-16.757775142004522
NOAA GlobalTemp,full record,176,0.05776095429231785,1.0073137141407027e-41,0.6518791334237716,-11.739981257709816
